rank,study_area_name,acres_per_1000,median_household_income,no_high_school_diploma_pct,park_acres,need_description,walkable_percentage,source_context
1,Unincorporated El Monte/ Unincorporated Monrovia,0.246722,77731.0,16.0,1065.18406005,Low,55.84101877,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
2,City of LA Hollywood - South,0.267015,49524.0,19.0,3234.74320533,Very High,70.38717456,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
3,City of Baldwin Park,0.275162,61507.0,32.0,4338.31411063,Very High,21.61898257,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
4,City of Glendale - Southside,0.277685,50373.0,15.0,2876.78142825,Very High,90.36559573,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
5,City of Maywood,0.331637,43852.0,49.0,755.68966968,Very High,93.69169181,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
6,Unincorporated San Jose Hills,0.338277,64973.0,37.0,969.97968097,Moderate,48.56888084,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
7,City of LA West Adams,0.377223,49053.0,26.0,3758.70020818,Very High,45.59170026,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
8,City of Bell,0.378774,44854.0,47.0,1675.99900769,Very High,76.79814862,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
9,City of El Monte,0.385383,48678.0,40.0,6153.3618882,Very High,41.61208175,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
10,Unincorporated West Carson/ Unincorporated Harbor City,0.387889,77382.0,14.0,1643.27877005,High,24.29128848,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
11,City of LA Central City,0.394437,45987.0,16.0,2234.88863896,Very High,91.82899876,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
12,City of LA Harbor Gateway,0.440668,53499.0,25.0,3240.64590786,High,45.2714146,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
13,City of LA Canoga Park - Winnetka,0.459554,68851.0,23.0,5024.95514951,Very High,23.18259695,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
14,City of LA Mission Hills - Panorama City - North Hills,0.464389,56823.0,29.0,7563.98411177,Very High,50.98015008,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
15,City of San Gabriel,0.499664,63566.0,20.0,2645.18937853,Moderate,59.59172499,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
16,City of Temple City,0.5,78722.0,14.0,2576.56929167,High,23.43485859,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
17,City of Lomita,0.515436,75036.0,11.0,1227.49834337,Moderate,51.61136886,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
18,City of Bradbury / Unincorporated Bradbury,0.518366,130637.0,7.0,1273.04007191,Very Low,10.30246845,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
19,City of LA Palms - Mar Vista - Del Rey,0.522371,79269.0,10.0,5263.03361548,Very High,38.03056183,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
20,City of LA South Los Angeles,0.547817,40050.0,32.0,4481.84458753,Very High,58.66421372,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
21,City of LA Bel Air - Beverly Crest/ Unincorporated Hollywood Hills,0.569377,200001.0,3.0,9796.28346507,Very Low,18.97540141,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
22,City of LA Wilshire - West,0.57683,86904.0,6.0,5978.8675892,High,46.48328723,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
23,City of Compton,0.578266,52404.0,37.0,6464.16399417,High,58.39369995,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
24,Unincorporated Charter Oak Islands/ Unincorporated Covina/ Unincorporated Covina Islands,0.583436,78851.0,14.0,1232.4217443,High,16.45014532,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
25,City of West Hollywood,0.600933,76320.0,2.0,1213.32247166,Very High,72.05703641,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
26,City of LA Southeast Los Angeles - North,0.609038,34651.0,56.0,4312.46305155,Very High,83.61894153,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
27,Unincorporated East Rancho Dominguez,0.612241,51013.0,45.0,528.02718085,Very High,75.55536721,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
28,City of LA Boyle Heights,0.625703,39678.0,48.0,3827.13894755,Very High,75.21765694,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
29,City of Hawthorne,0.627895,53692.0,21.0,3888.56500436,Very High,65.93891655,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
30,Unincorporated Del Aire,0.653998,90974.0,13.0,652.18406811,High,59.14052854,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
31,City of LA Westwood / Unincorporated Sawtelle VA Center,0.663576,82748.0,3.0,2935.45226656,Very High,26.02263553,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
32,City of LA Westlake,0.668962,33363.0,40.0,1943.36493139,Very High,81.37861138,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
33,City of Bellflower,0.68,58182.0,22.0,3943.37582696,Very High,45.8893231,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
34,City of Huntington Park,0.687603,41914.0,53.0,1928.88423676,Very High,68.00963401,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
35,City of South El Monte/ Unincorporated El Monte/ Unincorporated Whittier Narrows,0.703984,52588.0,43.0,1903.49242827,Low,35.64852029,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
36,Unincorporated Quartz Hill / Unincorporated Lancaster / Unincorporated Palmdale,0.741362,80849.0,12.0,9224.84007366,Moderate,5.36599528,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
37,Unincorporated Bassett-West Puente Valley,0.743906,71739.0,31.0,1295.96828568,Very High,40.18350656,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
38,City of Inglewood,0.784492,52078.0,24.0,5823.01952529,Very High,42.02910377,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
39,City of Lawndale,0.786099,60951.0,26.0,1261.05458818,Very High,95.66099966,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
40,Unincorporated Acton/ Unincorporated South Antelope Valley,0.794438,102188.0,10.0,115230.58500509,Very Low,0.76217291,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
41,City of LA Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass / Unic Universal City,0.807402,105770.0,3.0,9084.35220552,Low,36.37737795,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
42,Unincorporated San Pasqual/ Unincorporated East Pasadena,0.816523,106393.0,9.0,1012.61007177,Very Low,28.48625225,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
43,City of Cudahy,0.819525,43724.0,48.0,786.59769556,Very High,81.66853587,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
44,City of Gardena,0.824004,58567.0,16.0,3749.45844212,High,61.17520415,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
45,City of LA Westchester - Playa del Rey / City of LA Los Angeles International Airport,0.843841,108518.0,2.0,9102.53556585,High,15.60190057,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
