OBJECTID,STUD_AR_ID,STUD_AR_NM,POP_10,POP_14,Acres,AC_PER_1K,RepPrkAc,NEED_DESCP,PCT_Walk,MapLoc,DISTRICT
1,129,City of LA Brentwood - Pacific Palisades,57060,58098,24319.3234632194,6.523099,378.97900000000004,Moderate,29.7049551764,South County,3
2,060,City of LA Northridge,66984,68214,6332.076047503112,1.439836,98.217,High,15.4628695387,South County,"3, 5"
3,147,City of LA Westlake,110781,114579,1943.3649313899393,0.668962,76.649,Very High,81.3786113827,South County,1
4,136,City of LA Encino - Tarzana,72018,71252,12988.798544644513,8.805535,627.412,Moderate,10.4593570045,South County,3
5,139,City of LA Sunland - Tujunga - Lake View Terrace - Shadow Hills,61763,65031,16428.801938366963,8.599252,559.2180000000001,Low,42.8268027992,South County,5
6,059,City of LA Central City North,22135,22339,2022.3499572071694,1.554053,34.716,High,49.4487049627,South County,1
7,138,City of LA Silver Lake - Echo Park - Elysian Valley,70088,71783,4552.371486816463,8.837859,634.451,Moderate,55.523754526,South County,1
8,120,City of LA Sun Valley - La Tuna Canyon,88772,92025,10504.568667823836,1.199641,110.39699999999999,High,29.3825590627,South County,"3, 5"
9,094,City of LA North Hollywood - Valley Village,136616,140928,6791.468849052612,1.123886,158.38700000000003,Very High,39.1732806681,South County,3
10,096,City of LA Sylmar,78862,81225,7888.760175717453,4.221127,342.861,Moderate,35.0898548209,South County,"3, 5"
11,117,City of LA Arleta - Pacoima,103252,105696,6619.442127755731,4.540436,481.129,High,37.2338987068,South County,3
12,106,City of LA Venice,36962,37309,2006.3070385488643,0.874883,32.641,Very High,75.9153024902,South County,3
13,095,City of LA Reseda - West Van Nuys,107754,112146,7777.615594566474,2.848411,319.43800000000005,High,27.7305278441,South County,3
14,135,City of LA Boyle Heights,84619,85937,3827.1389475516426,0.625703,53.771,Very High,75.2176569423,South County,1
15,130,City of LA Mission Hills - Panorama City - North Hills,142294,149756,7563.984111766358,0.464389,69.545,Very High,50.9801500783,South County,3
16,073,City of LA Granada Hills - Knollwood,60785,62433,10388.465934210612,2.240001,139.85,Moderate,13.4723478773,South County,5
17,085,City of LA West Los Angeles,74952,80023,4573.89853747876,0.982705,78.63900000000001,High,36.5750629616,South County,"2, 3"
18,118,City of LA Central City,37675,37968,2234.888638962683,0.394437,14.975999999999999,Very High,91.8289987555,South County,1
19,043,City of LA Harbor Gateway,40136,42338,3240.645907857642,0.440668,18.657000000000004,High,45.2714145982,South County,2
20,105,City of LA Palms - Mar Vista - Del Rey,110715,112085,5263.033615481536,0.522371,58.55,Very High,38.0305618333,South County,2
21,087,City of San Fernando,23645,24286,1518.2136904590907,1.376143,33.421,High,80.4101820005,South County,3
22,077,City of Monrovia,36595,37285,8800.751126144705,0.9,33.5,Low,57.8822316437,South County,5
23,066,City of La Canada Flintridge,20246,20571,5534.462888288919,0.216081,4.445,Very Low,32.7966975146,South County,5
24,166,City of Arcadia,56350,57639,7108.042128124847,1.297628,74.794,Low,69.6367274403,South County,5
25,079,City of Westlake Village,8270,8407,3523.4774248089775,4.2,35,Very Low,54.645233265,South County,3
26,101,City of Calabasas,22908,23750,8292.985894157886,5.8,137.4,Very Low,55.5626943291,South County,3
27,176,City of Burbank,103286,105644,11082.269499207317,1.078017,117.4,Low,64.2807672785,South County,5
28,143,City of Duarte,21321,21641,4279.008724340001,90.344882,1956.187,Low,75.6211851266,South County,5
29,112,City of Sierra Madre,10917,11119,1893.4506136519883,2.256588,25.2,Very Low,84.707649144,South County,5
30,001,City of Hidden Hills,1862,1923,1081.7721753652368,0,0,Not Participating,3.99976562443,South County,3
31,081,City of Agoura Hills,20330,20607,4995.570459151321,2.325132,47.914,Very Low,44.2024593052,South County,3
32,175,City of Azusa,45726,45114,6183.198692741146,42.5,2056.0559999999996,Moderate,72,South County,1
33,111,City of San Gabriel,39713,40179,2645.189378526944,0.499664,20.076,Moderate,59.5917249892,South County,5
34,057,City of Irwindale,1422,1478,6161.772415196683,1295.6887689999999,1915.028,Very Low,35.390541206,South County,1
35,008,City of San Marino,13147,13391,2410.7008773938805,1.987977,26.621,Very Low,41.0600095125,South County,5
36,054,City of Baldwin Park,75390,76853,4338.31411063476,0.275162,21.147,Very High,21.6189825735,South County,1
37,093,City of Covina ,47764,48408,4501.571131243514,1.009688,48.877,Moderate,40.3403367451,South County,5
38,115,City of El Monte,113475,114813,6153.361888196154,0.385383,44.247,Very High,41.6120817484,South County,1
39,089,City of South Pasadena,25619,25854,2185.7625287783917,3.1288,80.892,Low,54.7786679774,South County,5
40,028,City of Temple City,35572,36352,2576.569291665171,0.5,19,High,23.4348585875,South County,5
