country,year,percentile,name,percentile_rank,wealth_share,average_net_worth_usd,average_variable,share_variable
United States,2024,p30p31,US 30-31 percentile,30.5,0.0002,11958.7,ahwealj992,shwealj992
United States,2024,p35p36,US 35-36 percentile,35.5,0.0005,26979.4,ahwealj992,shwealj992
United States,2024,p40p41,US 40-41 percentile,40.5,0.0008,42386.3,ahwealj992,shwealj992
United States,2024,p45p46,US 45-46 percentile,45.5,0.0012,59125.8,ahwealj992,shwealj992
United States,2024,p50p51,US 50-51 percentile,50.5,0.0016,84351.7,ahwealj992,shwealj992
United States,2024,p55p56,US 55-56 percentile,55.5,0.0024,121388.2,ahwealj992,shwealj992
United States,2024,p60p61,US 60-61 percentile,60.5,0.0033,169684.6,ahwealj992,shwealj992
United States,2024,p65p66,US 65-66 percentile,65.5,0.0045,231482.9,ahwealj992,shwealj992
United States,2024,p70p71,US 70-71 percentile,70.5,0.0061,313003.4,ahwealj992,shwealj992
United States,2024,p75p76,US 75-76 percentile,75.5,0.0082,420425.8,ahwealj992,shwealj992
United States,2024,p80p81,US 80-81 percentile,80.5,0.0109,559856.7,ahwealj992,shwealj992
United States,2024,p85p86,US 85-86 percentile,85.5,0.0147,752699.4,ahwealj992,shwealj992
United States,2024,p90p91,US 90-91 percentile,90.5,0.0211,1080172.7,ahwealj992,shwealj992
United States,2024,p91p92,US 91-92 percentile,91.5,0.0231,1180850.6,ahwealj992,shwealj992
United States,2024,p92p93,US 92-93 percentile,92.5,0.0255,1302489.0,ahwealj992,shwealj992
United States,2024,p93p94,US 93-94 percentile,93.5,0.0284,1453089.5,ahwealj992,shwealj992
United States,2024,p94p95,US 94-95 percentile,94.5,0.0322,1645863.7,ahwealj992,shwealj992
